product_name,energy_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,fiber_100g,cholesterol_100g
apple pie,272.78928888888885,37.464888888888886,15.073999999999998,2.8415555555555545,13.439777777777785,2.148888888888888,0.0058000000000000005
baby back ribs,228.962,10.71,7.14,14.29,14.29,0.0,0.054000000000000006
baklava,429.24399999999997,41.279999999999994,25.9675,4.33,23.3975,1.8250000000000002,0.00975
bread pudding,306.876,43.36,31.86,4.42,12.39,0.9,0.11800000000000001
breakfast burrito,228.48399999999998,22.5075,1.345,11.71,9.6025,1.9,0.08175
bruschetta,85.50224999999999,7.342499999999999,4.0875,2.6799999999999997,6.0925,1.65,0.0
caesar salad,178.055,7.16,1.575,7.890000000000001,13.41,1.2,0.018500000000000003
caprese salad,147.941,8.45,7.04,3.52,11.97,0.7,0.011000000000000001
carrot cake,419.90592857142855,54.183571428571426,37.51714285714286,4.412857142857144,21.554285714285715,1.8,0.031999999999999994
cheesecake,331.17632499999996,36.938,26.64825,4.79875,18.690999999999995,1.3824999999999996,0.06090000000000001
chicken curry,135.035,6.53,2.685,7.59,9.485,1.6,0.0295
chicken quesadilla,117.588,10.61,0.735,7.515,5.154999999999999,2.8,0.015500000000000002
chicken wings,215.81699999999998,4.611666666666667,1.7922222222222226,16.142777777777777,14.306111111111115,0.06666666666666667,0.06794444444444445
chocolate cake,387.897,60.0,45.88,3.53,15.29,2.4,0.028999999999999998
chocolate mousse,268.875,19.05,13.1,1.19,23.81,2.4,0.0
churros,400.08599999999996,63.33,3.33,13.33,8.33,3.3,0.0
clam chowder,110.49766666666666,9.046666666666667,1.5483333333333336,4.616666666666667,6.359999999999999,0.48333333333333334,0.024500000000000004
crab cakes,191.84871428571427,11.645714285714286,1.3928571428571428,9.91285714285714,11.381428571428572,0.6857142857142857,0.048857142857142856
creme brulee,389.8886666666666,30.36,27.75,3.936666666666667,27.593333333333334,0.8333333333333334,0.13533333333333333
deviled eggs,293.014,1.72,0.0,10.34,25.86,0.0,0.44799999999999995
donuts,428.97085714285714,52.910000000000004,27.524285714285718,3.8028571428571434,22.877142857142854,1.9714285714285715,0.027571428571428573
dumplings,119.5,20.075,0.66,5.485,2.16,0.95,0.006500000000000001
edamame,202.01475,14.3575,3.3674999999999997,18.2875,8.9775,7.3,0.0
falafel,364.41524999999996,48.96000000000001,7.24,18.11,16.7575,12.0,0.0
french fries,141.01,22.355,0.59,2.94,5.0,2.4,0.0
french onion soup,73.49249999999999,6.140000000000001,1.05,4.5600000000000005,3.6849999999999996,0.7,0.011000000000000001
french toast,226.094,32.65,7.54,5.665,9.18,2.15,0.038500000000000006
frozen yogurt,164.20438095238094,29.889047619047627,22.580000000000002,4.47047619047619,3.1295238095238096,0.40476190476190477,0.009142857142857145
garlic bread,334.65975,44.73000000000001,1.6500000000000001,8.228333333333332,13.585,2.641666666666667,0.0007500000000000001
gnocchi,199.8722857142857,42.12142857142857,1.272857142857143,5.279999999999999,0.8414285714285715,1.9,0.0012857142857142859
greek salad,76.32066666666665,6.640000000000001,3.41,1.863333333333333,4.93,1.633333333333333,0.0023333333333333335
grilled salmon,149.4945,0.43,0.0,21.37,6.4350000000000005,0.0,0.0735
guacamole,145.10714285714283,8.457857142857144,2.8864285714285716,2.7635714285714283,12.129999999999999,5.107142857142857,0.0
hamburger,267.441,45.349999999999994,4.65,9.3,5.23,2.3,0.0
hot dog,185.94199999999998,44.19,4.65,9.3,2.33,11.6,0.0
huevos rancheros,477.044,25.0,6.82,36.36,25.0,9.1,0.7609999999999999
hummus,204.70132727272727,16.56254545454545,2.865090909090907,6.172181818181812,13.328363636363635,4.727272727272724,0.0
ice cream,220.81706930693068,26.514480198019772,21.293960396039594,3.578787128712878,11.61871287128712,0.5235148514851485,0.040905940594059415
lasagna,198.89145454545454,29.578181818181818,2.1999999999999997,8.299999999999999,5.115454545454544,1.7727272727272732,0.020818181818181822
lobster bisque,120.217,6.941111111111112,2.1444444444444444,2.738888888888889,8.968888888888891,0.2222222222222222,0.034888888888888886
macaroni and cheese,199.75619999999998,21.444,1.3800000000000001,6.334,9.508,0.7,0.028600000000000004
miso soup,375.947,43.01,21.51,21.51,10.75,10.8,0.0
mussels,71.461,2.9850000000000003,0.165,8.184999999999999,2.77,0.05,0.028999999999999998
onion rings,425.70245454545454,50.84545454545455,3.9427272727272733,4.5236363636363635,22.295454545454547,2.609090909090909,0.0
pad thai,148.897,25.65,10.41,4.09,3.35,1.1,0.0
paella,422.07399999999996,82.22,2.22,13.33,3.33,2.2,0.006999999999999999
pancakes,262.34233333333333,47.096666666666664,12.053333333333333,5.312499999999999,5.219166666666667,1.783333333333333,0.008250000000000002
pizza,251.12686,26.590999999999994,2.262,10.433600000000002,11.220600000000001,1.264,0.021940000000000008
ramen,359.93399999999997,68.0,4.0,16.0,2.0,8.0,0.0
ravioli,219.402,33.06,1.8534482758620692,10.086206896551724,6.245517241379311,2.0241379310344825,0.03824137931034483
red velvet cake,413.6851,51.190000000000005,35.483,6.744,21.146,4.4399999999999995,0.033400000000000006
risotto,319.09914285714285,67.11714285714287,2.5,7.575714285714286,2.2942857142857145,1.5857142857142859,0.0038571428571428576
scallops,84.1758,2.3040000000000003,0.0,14.776,0.7979999999999999,0.0,0.0334
seaweed salad,85.64166666666667,14.976666666666667,14.5,0.3333333333333333,4.406666666666667,18.333333333333332,0.0
spaghetti bolognese,99.185,12.7,1.4,6.51,2.4,1.71,0.02
spring rolls,190.005,19.05,0.0,11.9,7.14,0.0,0.024
strawberry shortcake,308.72825,41.465,22.6025,5.6225000000000005,13.6175,2.875,0.07175000000000001
tiramisu,283.5222857142857,34.83,24.754285714285714,3.404285714285714,14.75,0.6285714285714287,0.06871428571428571
waffles,264.7300571428571,40.81571428571429,6.490571428571428,5.263142857142857,8.958571428571426,1.7799999999999991,0.006000000000000004
